world,idf
clickart,6.318066806790422
950,7.992043240362094
000,4.671814921233605
premier,4.6962063743577644
image,4.149013106420899
pack,3.7676455498917947
dvdrom,4.800196087881812
ca,5.198835230919577
international,5.871779704162003
arcserve,5.352985910746835
lapdesktop,8.397508348470257
oem,6.2574421849739865
30pk,8.397508348470257
noah,7.992043240362094
's,2.3256165522496612
ark,7.992043240362094
activity,5.329455413336641
center,4.931772445670531
jewel,4.916268259134566
case,4.590845858699938
ages,5.101671482465929
38,7.704361167910313
peachtree,5.689458147368048
by,2.5612366907679776
sage,5.594147967563723
premium,3.7725355351859866
accounting,4.547360746760199
for,1.3543484324819175
nonprofits,6.788070436036158
2007,3.029198610102186
singing,6.692760256231832
coach,7.144745379974889
unlimited,4.885962909639237
emc,4.7086288943563215
retrospect,5.53530746754079
75,5.656668324545056
disk,4.093443255266088
to,1.3640018641825602
windows,2.3692298282395594
adobe,2.9880969344166344
after,4.192815729079292
effects,3.743547998312734
professional,2.8760474306080113
65,6.893430951693984
upgrade,3.3444523384900497
from,2.0967225538070133
standard,3.2157247981781727
acad,6.692760256231832
dragon,6.2574421849739865
naturallyspeaking,6.692760256231832
pro,2.727627425489738
solution,3.622595387895072
90,5.794818663025874
a289afd790,8.397508348470257
mia,7.144745379974889
math,4.286634484296947
adventure,4.286634484296947
just,3.5772267828652207
in,1.6635113956215875
time,3.1400129764424762
disney,6.200283771134038
1st,5.656668324545056
2nd,6.04613309130678
grade,4.390175163237787
bundle,4.94752080263867
pixar,7.992043240362094
secret,6.382605327927993
keys,6.525706171568666
and,1.0697278100486265
aladdin,7.704361167910313
reading,4.68393628176595
quest,5.564295004414041
paper,4.856549024432944
art,4.51594455052682
gift,6.451598199414944
wrapping,7.481217616596103
nfs,7.704361167910313
maestro,7.704361167910313
solo,6.04613309130678
2006,4.0867092230847435
1u,5.139411810448776
microsoft,2.8027969688684187
sql,6.451598199414944
server,3.6482378185084094
edition,2.8464886283664668
2005,4.465682715745932
64,5.955161313101053
bit,6.382605327927993
cddvd,6.04613309130678
5,3.4558659258609534
client,4.485485343042112
spy,5.219454518122312
sweeper,5.656668324545056
spanish,5.101671482465929
domino,7.011213987350367
designerdeveloper,7.144745379974889
v50,6.692760256231832
omnioutliner,7.992043240362094
30,4.015481713796376
compaq,7.704361167910313
comp,7.481217616596103
secure,4.44626462988883
path,5.401776074916267
v30cnetware,8.397508348470257
wrkgrp,8.397508348470257
50,4.465682715745932
lic,5.794818663025874
231327b22,7.704361167910313
upg,5.453069369303817
sgms,8.397508348470257
1000,5.723359699043729
incremental,7.704361167910313
node,6.788070436036158
the,1.1575757571497884
human,5.912601698682257
body,5.871779704162003
school,4.417826694568297
zone,5.624919626230477
pencilpal,7.992043240362094
software,1.3391802110087463
big,4.9010007870037775
phonics,5.723359699043729
cdrom,4.156181595899511
book,4.2231210785746205
millie,7.704361167910313
house,5.564295004414041
37,8.397508348470257
winmac,4.996310966808102
world,3.3223345332364307
encyclopedia,5.912601698682257
musicalis,7.704361167910313
guitar,4.2154582058290515
workshop,5.101671482465929
printshop,6.605748879242203
20,3.674555126825783
publisher,5.178632523602057
data,3.5109257030439807
protection,4.034409723681895
suite,3.1092413177757225
kids,4.485485343042112
power,3.782387831628998
fun,3.782387831628998
girls,7.011213987350367
premiere,4.590845858699938
cs3,3.5812671924022257
